"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV120"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV121"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Neocosmospora"	"s__rubicola"
"ASV122"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Auriculariales"	"f__Auriculariales_fam_Incertae_sedis"	"g__Oliveonia"	"s__pauxilla"
"ASV123"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Thelonectria"	"s__olida"
"ASV124"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreales_fam_Incertae_sedis"	"g__Acremonium"	"s__polychromum"
"ASV125"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Eurotiales"	"f__Aspergillaceae"	"g__Penicillium"	NA
"ASV126"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Hyaloscyphaceae"	"g__Hyaloscypha"	NA
"ASV127"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV128"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricomycetes_ord_Incertae_sedis"	"f__Agaricomycetes_fam_Incertae_sedis"	"g__Agaricomycetes_gen_Incertae_sedis"	NA
"ASV129"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Mycosphaerellales"	"f__Mycosphaerellaceae"	"g__Ramularia"	NA
"ASV130"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Flagelloscypha"	NA
"ASV131"	"k__Fungi"	"p__Ascomycota"	"c__Dothideomycetes"	"o__Pleosporales"	NA	NA	NA
"ASV132"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Bionectriaceae"	"g__Gliomastix"	"s__roseogrisea"
"ASV133"	"k__Fungi"	"p__Ascomycota"	NA	NA	NA	NA	NA
"ASV134"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Agaricaceae"	"g__Lepiota"	"s__subincarnata"
"ASV135"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Tricholomataceae"	"g__Flagelloscypha"	NA
"ASV136"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Tetracladium"	NA
"ASV137"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Auriculariales"	"f__Auriculariales_fam_Incertae_sedis"	"g__Oliveonia"	"s__pauxilla"
"ASV138"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Hypocreaceae"	"g__Trichoderma"	"s__hamatum"
